Year ,Province,"Total 
formal employees","age 30 or 
below",30-35,36-40,41-45,46-50,51-54,55-59,60 or above
1996,Anhui,11951,5992,2871,1019,1019,531,212,282,25
2000,Anhui,13393,5118,2993,1950,1950,762,306,314,
2001,Anhui,15217,5511,3565,2286,2286,875,382,312,
2002,Anhui,12197,3611,3144,2146,2146,842,227,81,
2003,Anhui,12257,2972,3434,2254,2253,957,265,122,
2004,Anhui,12305,2494,3360,2426,2425,1102,312,186,
2005,Anhui,12550,2405,3379,2803,2295,1029,414,224,1
2006,Anhui,12671,1958,3222,2930,2734,1027,564,236,0
2007,Anhui,12364,1092,2895,3105,3262,1004,717,288,1
1996,Beijing,4812,2118,1213,607,607,174,69,22,2
2000,Beijing,5676,1682,1227,1109,1109,361,145,41,2
2001,Beijing,6649,2009,1353,1290,1290,513,148,39,7
2002,Beijing,6039,1797,1177,1252,1251,450,96,15,1
2003,Beijing,6331,1798,1207,1303,1302,580,122,17,2
2004,Beijing,6618,1781,1167,1407,1407,652,178,24,2
2005,Beijing,6885,1768,1280,1386,1460,701,227,57,6
2006,Beijing,7057,1641,1345,1306,1539,834,315,72,5
2007,Beijing,7179,1468,1264,1343,1696,902,414,91,1
2000,Chongqing,5268,1338,1214,969,969,405,162,208,3
2001,Chongqing,5804,1551,1295,1127,1126,520,143,40,2
2002,Chongqing,5161,1140,1105,1092,1092,533,143,55,1
2003,Chongqing,5267,1084,1102,1101,1101,614,169,95,1
2004,Chongqing,5340,958,1054,1158,1157,680,212,120,1
2005,Chongqing,5519,970,1062,1223,1184,647,290,141,2
2006,Chongqing,5572,929,1027,1149,1336,627,369,133,2
2007,Chongqing,5495,662,916,1117,1537,632,463,167,1
1996,Fujian,7557,3689,2081,556,555,332,133,206,5
2000,Fujian,8496,2802,2070,1434,1434,362,145,241,8
2001,Fujian,10113,3554,2142,1856,1856,428,160,108,9
2002,Fujian,8435,2339,1626,1854,1854,493,156,110,3
2003,Fujian,8593,2122,1683,1932,1932,591,188,145,
2004,Fujian,8688,1772,1768,2046,2045,666,221,170,
2005,Fujian,9330,2014,2021,2146,2034,681,260,171,3
2006,Fujian,9433,1768,2053,1831,2517,758,329,173,4
2007,Fujian,8876,1118,1822,1678,2885,775,411,185,2
1996,Gansu,5615,2696,1412,570,569,220,88,56,4
2000,Gansu,6422,2250,1768,914,913,359,144,73,1
2001,Gansu,6577,2182,1555,1080,1080,425,170,84,1
2002,Gansu,6575,1874,1592,1144,1143,538,187,96,1
2003,Gansu,6516,1599,1700,1191,1190,613,182,40,1
2004,Gansu,6304,1247,1514,1328,1327,650,187,50,1
2005,Gansu,5738,1077,1244,1438,1088,611,220,59,1
2006,Gansu,5754,871,1199,1375,1331,600,286,90,2
2007,Gansu,6475,817,1233,1544,1684,653,410,132,2
1996,Guangdong,23536,10321,5281,2684,2683,1356,540,634,37
2000,Guangdong,23249,7639,4687,3936,3936,1741,699,606,5
2001,Guangdong,26521,9451,5429,4389,4388,1924,754,173,13
2002,Guangdong,23246,6841,4885,4286,4285,2048,713,187,1
2003,Guangdong,23526,6097,5132,4366,4365,2374,875,316,1
2004,Guangdong,23775,5144,5242,4574,4573,2741,1041,454,6
2005,Guangdong,24651,5359,5544,4654,4529,2787,1164,600,14
2006,Guangdong,24644,4333,5474,4817,4973,2953,1411,668,15
2007,Guangdong,24237,3046,5101,4975,5311,3273,1747,784,
1996,Guangxi,8421,3482,2429,823,822,458,182,222,3
2000,Guangxi,8715,1909,2299,1704,1704,624,250,223,2
2001,Guangxi,12196,4058,2771,2062,2061,663,353,227,1
2002,Guangxi,8223,1522,1919,2006,2006,513,146,108,3
2003,Guangxi,8273,1391,1765,2107,2107,635,188,79,1
2004,Guangxi,8631,1467,1599,2283,2282,735,213,51,1
2005,Guangxi,10627,2242,2154,2540,2504,799,291,85,12
