Year ,Province,"Total 
formal employees","age 30 or 
below",30-35,36-40,41-45,46-50,51-54,55-59,60 or above
2007,Anhui,12500,1022,1587,2967,3855,1379,1147,541,2
2006,Anhui,11583,1069,1884,2731,3167,1356,882,457,37
2005,Anhui,14264,1412,3007,3053,3201,2094,960,537,0
2004,Anhui,14561,1957,2752,3132,2436,2927,996,360,1
2003,Anhui,14606,2123,3087,2479,2478,3236,865,338,
2002,Anhui,14390,2466,2907,2610,2609,2741,731,326,
2001,Anhui,20317,4703,4525,2506,2505,4149,1583,346,
2000,Anhui,16825,4486,3093,1984,1984,2809,830,1638,1
1996,Anhui,17354,5070,3179,2085,2085,2782,822,1305,26
2007,Beijing,6979,645,671,1693,1978,1150,599,242,1
2006,Beijing,6378,577,727,1569,1766,1003,504,205,27
2005,Beijing,6404,597,874,1614,1735,961,435,160,28
2004,Beijing,6731,574,1181,1779,1726,980,361,127,3
2003,Beijing,6721,683,1537,1616,1615,849,328,91,2
2002,Beijing,6680,797,1685,1578,1577,712,264,67,
2001,Beijing,7480,1076,1832,1699,1698,821,244,73,37
2000,Beijing,6915,1211,1784,1486,1486,634,187,125,2
1996,Beijing,6987,2604,1901,934,933,377,112,114,12
2007,Chongqing,6187,579,808,1191,1814,832,696,267,
2006,Chongqing,6313,807,1006,1388,1497,853,545,214,3
2005,Chongqing,6410,755,1297,1432,1367,869,463,221,6
2004,Chongqing,6396,1006,1123,1533,1148,928,412,242,4
2003,Chongqing,6398,1047,1216,1432,1431,786,283,202,1
2002,Chongqing,6393,1062,1164,1432,1431,831,276,196,1
2001,Chongqing,9486,2993,1815,1598,1597,969,320,194,
2000,Chongqing,6407,1414,1358,1196,1195,670,198,374,2
2007,Fujian,9808,720,1261,2036,3844,1184,536,225,2
2006,Fujian,9673,1120,1610,2172,3225,983,367,196,0
2005,Fujian,9644,1268,1684,2597,2731,879,312,169,4
2004,Fujian,9670,1142,1708,3248,2237,882,282,171,
2003,Fujian,9638,1346,1902,2623,2623,747,231,166,
2002,Fujian,9584,1650,2004,2513,2513,571,208,124,1
2001,Fujian,11659,2849,2729,2588,2587,549,211,109,37
2000,Fujian,9947,2321,2721,1987,1987,477,141,311,2
1996,Fujian,9556,4155,2834,787,786,506,149,329,10
2007,Gansu,7717,892,832,1733,2527,1001,612,120,
2006,Gansu,7663,1183,1029,1869,2120,931,423,99,9
2005,Gansu,7942,1196,1282,2158,1934,947,330,86,9
2004,Gansu,7774,841,1525,2347,1740,991,250,79,1
2003,Gansu,7719,1009,1766,1939,1938,852,181,34,
2002,Gansu,7677,1189,2051,1837,1836,599,141,24,
2001,Gansu,8836,1934,2587,1844,1844,508,80,39,
2000,Gansu,8575,1502,2276,1757,1756,801,237,246,
1996,Gansu,8562,3181,2418,996,995,533,158,279,2
2007,Guangdong,26237,2906,5081,5872,6119,3596,1870,793,
2006,Guangdong,30807,6137,7049,6240,5803,3431,1501,643,3
2005,Guangdong,30650,6503,7417,6278,5368,3272,1256,554,2
2004,Guangdong,25787,4203,6601,5718,4916,2941,1066,341,1
2003,Guangdong,25687,4879,5996,5611,5610,2532,865,192,2
2002,Guangdong,25507,5792,6871,4963,4962,2167,653,98,1
2001,Guangdong,33480,10457,8803,5420,5419,2334,792,253,2
2000,Guangdong,27248,9389,5441,4444,4443,2214,654,663,
1996,Guangdong,26593,11375,6044,3131,3131,1645,486,741,40
2007,Guangxi,11994,945,1721,2793,4303,1450,640,141,1
2006,Guangxi,11523,1369,1908,2860,3589,1192,485,111,9
2005,Guangxi,11624,1619,2142,3052,3265,1085,361,97,3
2004,Guangxi,11645,1521,2304,3658,2762,1093,233,74,
2003,Guangxi,11631,1841,2607,3042,3041,882,170,48,
2002,Guangxi,11609,2117,2806,2885,2885,737,135,44,
2001,Guangxi,14902,4169,3869,2982,2981,713,125,59,4
2000,Guangxi,13807,3105,3417,2627,2627,1252,370,409,
1996,Guangxi,13753,5500,3842,1336,1336,960,284,484,11
2007,Guizhou,8490,516,1584,1627,2743,1205,640,175,
2006,Guizhou,7719,696,1495,1564,2311,1037,465,150,1
2005,Guizhou,7616,921,1504,1596,2118,1008,354,115,0
2004,Guizhou,8333,1283,1576,2081,1954,1066,272,101,
2003,Guizhou,8381,1557,1630,1984,1984,922,240,64,
2002,Guizhou,8384,1835,1594,1992,1992,749,173,48,1
2001,Guizhou,10559,3658,2117,1973,1973,643,166,26,3
2000,Guizhou,9556,2412,1815,1848,1847,969,287,377,1
1996,Guizhou,9540,3575,2174,1086,1085,949,280,384,7
2007,Hainan,2298,212,328,350,618,456,233,100,1
2006,Hainan,2272,289,336,390,587,419,163,88,0
2005,Hainan,2262,332,338,421,568,389,136,78,0
2004,Hainan,2269,346,291,465,566,402,126,73,
2003,Hainan,2225,366,305,523,522,345,116,48,
2002,Hainan,2183,409,325,514,514,288,91,42,
2001,Hainan,2635,608,494,576,576,252,93,31,
2000,Hainan,2396,451,384,541,541,288,85,103,3
1996,Hainan,2380,654,472,365,365,264,78,157,25
2007,Hebei,25136,1720,4661,4827,6505,3467,3083,871,2
2006,Hebei,24919,2870,5068,4555,5605,3715,2376,673,57
2005,Hebei,24677,3240,5425,4692,5258,3739,1856,419,48
2004,Hebei,24446,3358,5334,5444,4832,3963,1340,174,1
2003,Hebei,24603,4452,5115,4987,4987,3819,1224,17,2
2002,Hebei,25029,5407,4701,5053,5053,3739,1059,16,1
2001,Hebei,28822,7644,5213,5424,5424,3849,1105,112,51
2000,Hebei,28527,7413,5333,4954,4954,3828,1132,913,
1996,Hebei,28766,9744,5210,5964,5963,768,227,885,5
2007,Heilongjiang,13205,1558,1631,1933,3793,2029,1676,583,2
2006,Heilongjiang,13785,2074,2084,2329,3512,1950,1319,509,8
2005,Heilongjiang,14054,2245,2119,2805,3249,2075,1116,439,6
2004,Heilongjiang,12900,2054,1665,2993,2742,2192,953,299,2
2003,Heilongjiang,12811,2244,1839,2878,2877,2035,726,211,1
2002,Heilongjiang,12183,2031,1881,2876,2876,1838,558,122,1
2001,Heilongjiang,16088,3657,3068,3299,3299,1952,598,192,23
2000,Heilongjiang,14050,2241,2587,2912,2911,2207,652,540,
1996,Heilongjiang,14966,4076,3100,2508,2507,1802,533,437,3
2007,Henan,22451,2152,3587,5762,7316,2175,1326,133,
2006,Henan,20138,2390,3499,5206,5960,1936,1046,96,5
2005,Henan,20037,2878,4261,5639,4697,1866,645,42,9
2004,Henan,21590,3229,5122,6740,4073,2014,387,25,
2003,Henan,21473,3857,5730,4979,4978,1737,169,23,
2002,Henan,21314,4598,5720,4734,4734,1437,76,15,
2001,Henan,23297,6428,6517,4496,4496,1206,99,55,
2000,Henan,27882,6992,7015,4635,4634,2805,829,972,
1996,Henan,28791,12271,8089,2773,2772,1586,469,831,
2007,Hubei,24310,2522,4283,6526,5957,2778,1741,502,1
2006,Hubei,24760,4882,5133,5869,4972,2281,1286,336,1
2005,Hubei,25007,4635,5760,6215,4718,2393,1086,199,1
2004,Hubei,26140,4180,6729,6221,5680,2401,794,133,2
2003,Hubei,26141,5629,7651,4821,4821,2356,794,68,1
