"","Year","Province","Number.of.Staff","Population","staff_ratio"
"1",2000,"Anhui",13393,6093,2.1980961759396
"2",2001,"Anhui",15217,6128,2.48319190600522
"3",2002,"Anhui",12197,6144,1.98518880208333
"4",2003,"Anhui",12257,6163,1.98880415382119
"5",2004,"Anhui",12305,6228,1.97575465639049
"6",2005,"Anhui",12550,6120,2.05065359477124
"7",2006,"Anhui",12671,6110,2.07381342062193
"8",2007,"Anhui",12364,6118,2.02092186989212
"9",2000,"Beijing",5676,1364,4.16129032258065
"10",2001,"Beijing",6649,1385,4.80072202166065
"11",2002,"Beijing",6039,1423,4.243851018974
"12",2003,"Beijing",6331,1456,4.34821428571429
"13",2004,"Beijing",6618,1493,4.43268586738111
"14",2005,"Beijing",6885,1538,4.47659297789337
"15",2006,"Beijing",7057,1581,4.46363061353574
"16",2007,"Beijing",7179,1633,4.39620330679731
"17",2000,"Chongqing",5268,2848.82,1.84918668080117
"18",2001,"Chongqing",5804,2829.21,2.05145606017227
"19",2002,"Chongqing",5161,2814.43,1.83376385271618
"20",2003,"Chongqing",5267,2803.19,1.87893078956475
"21",2004,"Chongqing",5340,2793.32,1.91170363581688
"22",2005,"Chongqing",5519,2798,1.97248034310222
"23",2006,"Chongqing",5572,2808,1.98433048433048
"24",2007,"Chongqing",5495,2816,1.95134943181818
"25",2000,"Fujian",8496,3410,2.49149560117302
"26",2001,"Fujian",10113,3445.375,2.93523927003592
"27",2002,"Fujian",8435,3476.033333,2.42661654591216
"28",2003,"Fujian",8593,3501.975,2.45375823642373
"29",2004,"Fujian",8688,3529.095833,2.46182036734733
"30",2005,"Fujian",9330,3557.395833,2.62270504548601
"31",2006,"Fujian",9433,3584.516667,2.63159607732966
"32",2007,"Fujian",8876,3611.6375,2.45761098670617
"33",2000,"Gansu",6422,2515.31,2.55316442108527
"34",2001,"Gansu",6577,2523.35,2.60645570372719
"35",2002,"Gansu",6575,2530.76,2.59803379222052
"36",2003,"Gansu",6516,2537.19,2.56819552339399
"37",2004,"Gansu",6304,2541.48,2.48044446542959
"38",2005,"Gansu",5738,2545.1,2.25452830930022
"39",2006,"Gansu",5754,2546.79,2.25931466669808
"40",2007,"Gansu",6475,2548.19,2.54101931174677
"41",2000,"Guangdong",23249,8650.03,2.68773634311095
"42",2001,"Guangdong",26521,8733.18,3.03680904321221
"43",2002,"Guangdong",23246,8842.08,2.62901941624595
"44",2003,"Guangdong",23526,8962.69,2.62488159246833
"45",2004,"Guangdong",23775,9110.66,2.60958042556741
"46",2005,"Guangdong",24651,9194,2.6812051337829
"47",2006,"Guangdong",24644,9442,2.61004024571065
"48",2007,"Guangdong",24237,9660,2.50900621118012
"49",2000,"Guangxi",8715,4751,1.83435066301831
