"","Year","Province","Number.of.Staff","Population","staff_ratio"
"1",2007,"Anhui",12500,6118,2.0431513566525
"2",2006,"Anhui",11583,6110,1.89574468085106
"3",2005,"Anhui",14264,6120,2.33071895424837
"4",2004,"Anhui",14561,6228,2.33798972382787
"5",2003,"Anhui",14606,6163,2.36994969982152
"6",2002,"Anhui",14390,6144,2.34212239583333
"7",2001,"Anhui",20317,6128,3.31543733681462
"8",2000,"Anhui",16825,6093,2.76136550139504
"9",2007,"Beijing",6979,1633,4.27372933251684
"10",2006,"Beijing",6378,1581,4.03415559772296
"11",2005,"Beijing",6404,1538,4.16384915474642
"12",2004,"Beijing",6731,1493,4.50837240455459
"13",2003,"Beijing",6721,1456,4.61607142857143
"14",2002,"Beijing",6680,1423,4.69430780042164
"15",2001,"Beijing",7480,1385,5.40072202166065
"16",2000,"Beijing",6915,1364,5.06964809384164
"17",2007,"Chongqing",6187,2816,2.19708806818182
"18",2006,"Chongqing",6313,2808,2.24821937321937
"19",2005,"Chongqing",6410,2798,2.29092208720515
"20",2004,"Chongqing",6396,2793.32,2.2897483997537
"21",2003,"Chongqing",6398,2803.19,2.28239969463361
"22",2002,"Chongqing",6393,2814.43,2.27150790746261
"23",2001,"Chongqing",9486,2829.21,3.35287942570541
"24",2000,"Chongqing",6407,2848.82,2.24900134090606
"25",2007,"Fujian",9808,3611.6375,2.71566567796464
"26",2006,"Fujian",9673,3584.516667,2.69855071090956
"27",2005,"Fujian",9644,3557.395833,2.71097186052166
"28",2004,"Fujian",9670,3529.095833,2.74007860868424
"29",2003,"Fujian",9638,3501.975,2.75216128042033
"30",2002,"Fujian",9584,3476.033333,2.75716573515378
"31",2001,"Fujian",11659,3445.375,3.38395675361898
"32",2000,"Fujian",9947,3410,2.91700879765396
"33",2007,"Gansu",7717,2548.19,3.02842409710422
"34",2006,"Gansu",7663,2546.79,3.00888569532627
"35",2005,"Gansu",7942,2545.1,3.12050607048839
"36",2004,"Gansu",7774,2541.48,3.05884760061067
"37",2003,"Gansu",7719,2537.19,3.04234211864307
